#100: 	#ame  Not available in demo
#101: 	#ame  Game inactive - waiting for both sides
#102: 	#ame  US
#103: 	#ame  VC
#104: 	#ame  to take ammo
#105: 	#ame  Ammo full
#106: 	#ame  You have to drop
#107: 	#ame  to pick up
#108: 	#ame  You already have
#660: 	#ame To use the radio, approach Defort and press USE (^20).
#662: 	#ame Look through binoculars (^39) to examine the enemy.
#678: 	#ame Follow the enemy footprints
#738: 	#ame Find and destroy the caches
#752: 	#ame C-4 charges come with a 30 second timer, enough time to get to a safe distance away.
#777: 	#ame Find boobytraps - move slowly and keep your eyes open. The Vietcong usually use a trip wire connected to a grenade or camouflaged holes with punji spikes.
#901: 	#ame Search the tunnels
#902: 	#ame Find the missing man
#975: 	#ame Look for a tunnel entrance
#1342: 	#ame Place the C-4 on each pillar of the bridge
#1343: 	#ame Move back to the helicopter
#1414: 	#ame Locate Shrew three
#1415: 	#ame Find the missing team members
#1452: 	#ame Find the tunnel entrance
#1473: 	#ame Search the tunnels
#1474: 	#ame Find the missing Shrew Three member
#1475: 	#ame Place explosives in the key areas of the tunnel system
#1620: 	#ame Camp is under attack - stay alive
#1621: 	#ame Eliminate enemies in the inner perimeter
#1622: 	#ame Meet the Captain at the western gate
#1624: 	#ame Seek and destroy the enemy in the western sector
#1625: 	#ame Locate VC route into the base.
#1631: 	#ame Midnight Surprise
#1632: 	#ame During debriefing in the TOC bunker there is suddenly a VC attack at the basecamp.
#1634: 	#ame Midnight Surprise
#1636: 	#ame You have cleared the inner perimeter, now we gotta mop-up the rest of them. You move directly to the west sector
#1637: 	#ame Midnight Surprise
#1638: 	#ame The VC have tunnelled into the middle of Nui Pek. You have been given some C-4 which can be used to destroy the tunnels. Make sure you leave before it blows!
#1663: 	#ame Place the C-4 at the end of the tunnel and return safety
#1700: 	#ame Move to the west sector and defend it
#1701: 	#ame Nui Pek Camp
#1702: 	#ame January 7th 1968, 19:00 
#1713: 	#ame Defend the west sector from enemy attack
#1795: 	#ame The enemy are attacking between west sector bunkers 1 and 2
#1796: 	#ame The enemy are attacking between west sector bunkers 2 and 3
#1797: 	#ame The enemy are attacking between west sector bunkers 3 and 4
#1798: 	#ame The enemy are placed at the wooden bridge between west sector bunkers 1 and 2, defend that position
#1799: 	#ame The enemy are placed at the wooden bridge between west sector bunkers 2 and 3, defend that position
#1820: 	#ame April 8th, 1960, 11:00
#1821: 	#ame Fort Benning, USA
#1822: 	#ame Training area for new soldiers
#1830: 	#ame Listen to your drill Sergeant and learn how to move
#1831: 	#ame Crouch and go under the barrier
#1832: 	#ame Jump over the hurdle
#1833: 	#ame Crawl under the hurdle
#1834: 	#ame Finish the obstacle course
#1835: 	#ame Go back to the drill instructor
#1836: 	#ame Run the obstacle course with the other soldiers
#1837: 	#ame Go to the start of the obstacle course
#1839: 	#ame The item in the upper right corner of your screen is your radar. Green dots represent your team mates. Red dots represent enemy which have been spotted by your team. This is not always the exact location, sometimes it's just an idea of where the enemy may be hidden.
#1882: 	#ame You can look at your current objectives and orders by pressing the Objectives button (^47).
#1883: 	#ame You can look around by moving your mouse.
#1884: 	#ame You can move forward by pressing ^6, backwards by pressing ^7.
#1885: 	#ame To sidestep left press ^8, to sidestep right press ^9.
#1886: 	#ame To crouch press ^11 key. You can either keep it pressed, or press it once, and it will toggle your movement to/from crouching position 
#1887: 	#ame To jump or to climb up the obstacle you must press ^10.
#1888: 	#ame To lie press ^12. This is the best firing position and you are also well covered from enemy fire.
#1889: 	#ame Move to the beginning of the obstacle course, complete it and get back to the drill Sergeant.
#1890: 	#ame April 15th, 1960,  09:00
#1891: 	#ame Fort Benning
#1892: 	#ame Firearms Shooting Range
#1898: 	#ame To pick-up a weapon, move nearby, aim at it with your crosshair and press USE (^20).
#1900: 	#ame The enemy are placed at the wooden bridge between west sector bunkers 3 and 4, defend that position
#1901: 	#ame Defend the sector, be prepared to retreat into the inner perimeter
#1902: 	#ame Retreat to the inner perimeter
#1903: 	#ame Defend the base
#1904: 	#ame Use foogas to burn the enemy soldiers and to close the main trench from the west outer sector
#1905: 	#ame Nui Pek Camp
#1906: 	#ame January 7th 1968, 20:55 
#1907: 	#ame Nui Pek Camp
#1908: 	#ame January 8th 1968, 03:20
#1918: 	#ame Destroy the tank near the main gate blocking the way out, place explosives under it
#1931: 	#ame Your small part in the war is temporarily over. 
#9432: 	#ame You are evacced with the rest of the US forces from the base,
#1937: 	#ame leaving a smouldering ruin, littered with dead Vietnamese and US alike...
#1933: 	#ame THE END
#2900: 	#ame To interact with the other soldier, move near him and press USE (^20). According to his equipment and skills he can give you some ammo, heal you, hand you a radio and so on.
#2903: 	#ame You can shoot your gun with ^17. Right now you'll be shooting from your hip, but you can press AIM key (^16) and aim more carefully.
#2904: 	#ame Grab a weapon (Thompson M1 submachine gun)
#2905: 	#ame Shoot down the targets on your range
#2907: 	#ame Lie down by pressing ^12. To shoot from this position, you must always AIM (^16), but your shooting is very accurate this way.
#2909: 	#ame Switch your weapon to single shot mode and shoot down the targets in your line
#2910: 	#ame Some of the weapons have two or more modes of fire, usually automatic (gun shoots as long as you squeeze the trigger) and semi-automatic mode (one squeeze, one shot). To change weapon mode press (^18).
#2912: 	#ame Move to the firing position 6
#2913: 	#ame Move to the firing position 2
#2915: 	#ame Shoot down any target going up
#2925: 	#ame Put the Thompson down and grab a sniper rifle
#2926: 	#ame You can carry only one weapon of any type (one pistol, one rifle, etc.). If you want to pickup a weapon, you must drop your current gun. You can do this by pressing ^21.
#2928: 	#ame Get back to firing position 6
#2931: 	#ame Shoot the target in your line every time it rises up
#2950: 	#ame June 2nd 1960, 14:00
#2951: 	#ame Fort Benning
#2952: 	#ame Heavy firearms shooting range
#2956: 	#ame Go to the firing position and use the claymore mines to destroy some of the targets
#2957: 	#ame You can grab and release the mounted machine gun by pressing USE (^20).
#2958: 	#ame Claymores are mines with a powerful, directional blast, in this case fired with a clacker. Just point at the clacker and press USE (^20) to detonate the mine.
#2959: 	#ame Destroy the rest of the targets with the mounted machine gun 
#2971: 	#ame Run to the position and take grenades from the crate
#2972: 	#ame Use hand grenades to destroy all the targets
#2973: 	#ame Throwing grenades requires some skill and experience. If you want to throw them further, you must aim higher.
#2974: 	#ame But always think about the time, or else the grenade will blow in your hand! They have a 4 second timer (approx).
#2979: 	#ame Run to the firing position and destroy all the targets with the grenade launcher
#2980: 	#ame The grenade launcher is a powerful weapon, it shoots 40mm grenades, which will explode on impact. Aiming is the same as with hand grenades, just estimate the correct angle, aim up and shoot.
#2981: 	#ame Sometimes you must wait a few moments before you throw the grenade in order to destroy the target.
#2988: 	#ame Go to the firing position and use your map to target fire support, you only have five tries!
#2989: 	#ame You can access your map by pressing MAP (^36). Look at the map closer with AIMING (^16).
#2990: 	#ame If you can use fire support at that time, you'll see the mouse cursor. Position it on the area where you want the  fire centered and press FIRE (^17).
#2991: 	#ame RTO will send the coordinates to the mortar or artillery crew, and in a few seconds fire will rain down from the skies.
#3008: 	#ame Get to the originally intended LZ
#3180: 	#ame Reach the defended zone
#3181: 	#ame Defend the zone
#3182: 	#ame Search and destroy
#3183: 	#ame Set up an ambush assault
#3184: 	#ame Join Snake Three and prepare for pickup
#3205: 	#ame Make contact with the Captain
#3220: 	#ame Wait for the chopper
#3223: 	#ame Khe Bana river
#3224: 	#ame You have reached the village near checkpoint Delta. The village is empty, looks like civvies left a couple of hours ago. Continue to the north, LLDB will pick you up somewhere round there. 
#3227: 	#ame Move up along the river
#3239: 	#ame Get on board and man the M-60
#3288: 	#ame Put explosives on the VC radio
#3316: 	#ame Find a good position at the entrance to the ruins
#3330: 	#ame Find the enemy maps
#3331: 	#ame Look out for any signs of American POWs
#3332: 	#ame Destroy the two enemy anti-aircraft guns
#3333: 	#ame Locate the escape route from the ruins
#3392: 	#ame Clear the area and then wait for reinforcements
#3471: 	#ame Find the pilot
#3472: 	#ame Move to the nearest farm
#3490: 	#ame 17.12. 1967 8:00
#3491: 	#ame Ricefields around Khe Bana river
#3509: 	#ame to talk with villager
#3510: 	#ame Since you crashed the jeep, you must now go to the village by foot
#3583: 	#ame Accompany the Medic and Cpt to the Jarai village.
#3584: 	#ame Visit the Jarai village
#3585: 	#ame Eliminate VC sniper
#3586: 	#ame The important thing in any battle is to move when your team mates support you with covering fire. 
#3587: 	#ame Sometimes the cover you find will be inadequate. You can crouch or crawl however, by using the CROUCH (^11) key, to keep out of the enemy's line of fire.
#3588: 	#ame To move over larger obstacles, press the JUMP (^10) key when next to the obstacle. You will climb over using both hands, so you cannot use your weapon for a moment.
#3589: 	#ame Return to the village
#3631: 	#ame You can use your medikit to heal yourself. Select your medikit (^35), press Aim (^16) and then press Fire (^17).
#3632: 	#ame You can search dead bodies by pressing USE (*20) when pointing at them, as long as you are near to the corpse. Searching bodies can uncover weapons, ammunition and occasionally, intelligence items.
#3633: 	#ame Use the movement keys to drive the jeep. make sure you use the brake, and steer gently. It is easy to have an accident on the muddy, potholed tracks of Vietnam. You can use the mouse or "look" keys to look around whilst driving.
#3715: 	#ame Take your team across the river
#3716: 	#ame Clear the old French bunkers
#3717: 	#ame Navigate fire support enabling them to destroy the enemy tanks
#3718: 	#ame Check the surrounding area and find the tanks
#3750: 	#ame Eliminate the enemy and assist Shrew Three (use fire support if required)
#3751: 	#ame View map with ^36 in order to call for fire support.
#3752: 	#ame You can look closer at the map using ^16. Identify target and move the cursor over the area where you require fire-support.
#3753: 	#ame Click on the area where you require fire support. It will arrive as soon as the artillery has adjusted to your co-ords. Careful; inaccurate placement of fire support can be fatal.
#3754: 	#ame It's dark here. Turn on your torch with ^38.
#3802: 	#ame Eliminate the enemy attacking the relay outpost
#3803: 	#ame Do not let the enemy destroy the relay station
#3828: 	#ame Eliminate the enemy mortar teams
#4075: 	#ame Head along the stream bed to the village
#4076: 	#ame Reconnoiter the village surroundings
#4077: 	#ame Find another way to the village
#4107: 	#ame Locate Fist Bravo
#4108: 	#ame Seizing the hill
#4129: 	#ame Locate Fist Delta
#4193: 	#ame Examine the bunker
#4236: 	#ame Search the underground
#4237: 	#ame Find an alternate exit from the underground
#4238: 	#ame Get out of the tunnel labyrinth
#4309: 	#ame Walk to the VC controlled village
#4356: 	#ame Stay undetected.  VC will kill the POW if they learn of your presence
#4357: 	#ame Rescue the US POW
#4358: 	#ame Escape with the rescued POW to the LZ on the hill above the village
#4371: 	#ame Co-operate with the pointman in order to kill both guards
#4386: 	#ame  to give signal to Bronson.
#4440: 	#ame Find an exit from the tunnels
#4441: 	#ame Sneak through the village
#4442: 	#ame Escape from the VC
#4443: 	#ame Cross the island
#4444: 	#ame Defend the extraction point until the chopper arrives
#4470: 	#ame Move to the patrol point above the village
#4471: 	#ame  to give signal to Bronson.
#4508: 	#ame Drive to the montagnard village
#4535: 	#ame Drive to the LLDB outpost
#4603: 	#ame Continue patrolling along the trail
#4604: 	#ame Lead your team upstream
#4652: 	#ame Destroy the caches
#4653: 	#ame Proceed to the Bahnar village
#4709: 	#ame Move up to the LLDB outpost
#4717: 	#ame Eliminate the three mortar teams 
#4718: 	#ame Eliminate the two remaining mortar teams
#4719: 	#ame Eliminate the one remaining mortar team
#4729: 	#ame Defend the LLDB outpost
#4849: 	#ame Find your way to the village
#4945: 	#ame Find the village
#4946: 	#ame Search the village
#4947: 	#ame Eliminate VC in the area
#4948: 	#ame Move to the pickup zone
#6610: 	#ame See the Captain in the TOC (the large bunker with the US flag outside)
#6611: 	#ame To interact with an item, or to pickup a weapon, stand nearby and point the cursor at the item you wish, then press ^20. 
#6612: 	#ame Press ^17 to fire from weapon. Hold ^11 for crouching, press ^12 to switch to the prone position. Press ^16 to aim and ^18 to change fire mode.
#6613: 	#ame See the Captain
#6614: 	#ame Get ready to drive the jeep
#6647: 	#ame Press ^21 to drop selected item. You must drop your bag before picking up a weapon.
#6659: 	#ame Follow the captain
#6673: 	#ame Go to the firing range and get a gun
	
	
	
	
#8800: 	#ame June 27th, 1967, 12:00
#8801: 	#ame Central Highlands near Cambodian border
#8802: 	#ame July 5th, 1967, 19:30
#8803: 	#ame Special Forces camp on Nui Pek
#8804: 	#ame July 6th 1967, 05:30
#8805: 	#ame Near the canyons of Song Nong river
#8806: 	#ame July 17th, 1967, 12:00
#8807: 	#ame Special Forces camp on Nui Pek
#8808: 	#ame July 18th, 1967,  02:45
#8809: 	#ame Vietnamese ricefields around Khe Bana river
#8810: 	#ame October 20th, 1967,  04:30
#8811: 	#ame Special Forces camp on Nui Pek
#8812: 	#ame August 31st, 1967, 23:00
#8813: 	#ame Special Forces camp on Nui Pek
#8814: 	#ame September 16th, 1967,  06:30
#8815: 	#ame Special Forces camp on Nui Pek
#8816: 	#ame September 16th, 1967, 12:30
#8817: 	#ame Old French route over Khe Bana river
#8818: 	#ame September, 21st 1967, 13:30
#8819: 	#ame Special Forces camp on Nui Pek 
#8820: 	#ame September 22nd, 1967, 2:00
#8821: 	#ame Flooded area near Khe Bana river
#8822: 	#ame September 23rd, 1967,  13:00
#8823: 	#ame Special Forces camp on Nui Pek
#8824: 	#ame September 23rd, 1967, 17:00
#8825: 	#ame Swamp territory around Khe Bana river
#8826: 	#ame November 10th, 1967, 12:00
#8827: 	#ame Special Forces camp on Nui Pek
#8828: 	#ame November 10th, 1967, 16:30
#8829: 	#ame US Radio relay on hill Dong Tham Hahn
#8830: 	#ame November 27th, 1967, 19:45
#8831: 	#ame Special Forces camp on Nui Pek
#8832: 	#ame November 28th, 1967,  6:00
#8833: 	#ame Ruins of Po Tlong Karai in Khe Areh Valley
#8834: 	#ame December 17th, 1967, 07:00
#8835: 	#ame Special Forces camp on Nui Pek
#8836: 	#ame December 17th, 1967, 11:30
#8837: 	#ame Ricefields around Khe Bana river
#8838: 	#ame January 2nd, 1968, 12:00
#8839: 	#ame Special Forces camp on Nui Pek
#8840: 	#ame January 3rd, 1968, 06:00
#8841: 	#ame Jungle area near the Song Nong stream
#8842: 	#ame January 7th, 1968, 14:00
#8843: 	#ame Special Forces camp on Nui Pek
#8844: 	#ame January 7, 1968, 21:00
#8845: 	#ame Jarai village near the Nui Pek camp
#8846: 	#ame January 7th, 1968, 15:00
#8847: 	#ame LLDB outpost near the Cambodian border
#8848: 	#ame January 7th, 1968, 19:00
#8849: 	#ame Special Forces camp on Nui Pek
#8850: 	#ame January 8th, 1968, 01:30
#8851: 	#ame Special Forces camp on Nui Pek
#9001: 	#ame Arrival
#9002: 	#ame You have just arrived at Nui Pek camp.  As a new soldier in the camp, you must meet up with the A-216 Captain. You were told that you could find him in the TOC (Tactical Operations Centre) bunker, which is the large, central bunker, in the middle of the inner perimeter. You should be able to see the US flag, which stands in front of the TOC.
#9003: 	#ame Arrival
#9004: 	#ame You have just explored the camp and met the captain and medic. Your first mission is already being planned.
#9005: 	#ame The hints are here to help you play the game. Most of the hints are in the early missions. You can cancel any hint by pressing ESC key. 

#9006: 	#ame You have just arrived at Nui Pek camp. As a new soldier in the camp, you must meet up with the A-216 Captain. You were told that you could find him in the TOC (Tactical Operations Centre) bunker, which is the large, central bunker, in the middle of the inner perimeter. You should be able to see the US flag, which stands in front of the TOC.
#9007: 	#ame You should follow the captain. He is going to show you your bunker. You'd better stay with him, it is easy to get lost at Nui Pek.
#9008: 	#ame You have settled in now, the next step is to be issued with a weapon and test fire it on the firing range. This is situated just next to your bunker.
#9009: 	#ame Enough practice. The Captain is waiting for you in the middle of the inner perimeter. You should find him quickly.
#9010: 	#ame Medic patrol
#9011: 	#ame Not long after arriving at Nui Pek camp, you were ordered to accompany Cpt. Rosenfield and Sgt. Crocker on a medic patrol to the nearby Jarai village. The mission is to provide medical help for the villagers and meet the village chief. 
#9012: 	#ame Medic patrol 
#9013: 	#ame You, Cpt. Rosenfield and Sgt. Crocker are in the Jarai village. Now it’s time to meet the Montagnards. Rosenfield wants you to meet the village chief. 
#9014: 	#ame Medic patrol
#9015: 	#ame Suddenly your visit to the Jarai village was cut short. You have come under fire from a group of poorly equipped VC. This is your first experience of combat, during which you will quickly learn the importance of using cover.
#9016: 	#ame Medic patrol
#9017: 	#ame All the VC group are dead or have retreated, leaving you to return to the village and finish the day with a glass or two of rice wine.
#9018: 	#ame Your mission objectives were updated. You can check the status of the current mission objectives by holding ^47.
#9020: 	#ame Insertion
#9021: 	#ame You were inserted in a small clearing surrounded by dense jungle. You are in enemy controlled territory, which is used as a transportation trail for moving items from Cambodia, to South Vietnam. Your task is to reconnoiter the area and secure any enemy munitions or equipment caches you encounter.
#9022: 	#ame Insertion
#9023: 	#ame The team have passed through the jungle, peppered with VC improvised traps. Now you are approaching the first canyon and near the supposed VC trail. The jungle is dense and Victor Charlie could be anywhere.
#9024: 	#ame Ho Chi Minh's trail
#9025: 	#ame You have patrolled through the first ravine, finding an enemy rope bridge. You made contact with a squad of VC carrying supplies and engaged them. There is no doubt that the Ho Chi Minh trail goes through this area.
#9026: 	#ame Ho Chi Minh's trail
#9027: 	#ame You've found, and dealt with some VC hidden caches, which contains rice and weapons. You are still following a larger VC group, on route to the second ravine.
#9028: 	#ame Ho Chi Minh's trail
#9029: 	#ame You have just found a VC camp. It seems like large group of VC were camping there overnight. You must continue patrolling through the three canyons area and look for more enemy caches.
#9030: 	#ame Ho Chi Minh's trail
#9031: 	#ame You were ambushed by a group of VC in the narrow passage in the first canyon. The enemy were everywhere - on the trail, behind the rocks, on the cliffs. It seemed that they knew about your presence.
#9032: 	#ame Ho Chi Minh's trail
#9033: 	#ame You've reached a rope bridge over the first canyon. But the trail is guarded by groups of VC. They know about your presence, and seem intent on stopping you.
#9040: 	#ame Keep running Charlie
#9041: 	#ame You moved to the second canyon following the group of VC. 
#9042: 	#ame Keep running Charlie
#9043: 	#ame You made contact with squad of VC. Enemy caches found and destroyed. Now move to the Bahnar village.
#9048: 	#ame Bahnar tribe
#9049: 	#ame You climbed up and out of the third canyon. The enemy seemed to have disappeared, but your pointman has found tracks. You are quite near to the village so watch out for civvies.
#9050: 	#ame Bahnar tribe
#9051: 	#ame It appears as if the VC are preparing an attack on the Montagnard village. Support helicopters have been requested.
#9060: 	#ame Twisty track drive
#9061: 	#ame You are driving to the montagnard village to assist Crocker with his medical mission. Nhut will lead the way. 
#9070: 	#ame Outpost
#9071: 	#ame You have reached the pass of the LLDB outpost but it’s blocked. You must leave the jeep and continue on foot. 
#9072: 	#ame Outpost
#9073: 	#ame You've reached the valley before the LLDB outpost. VC are attacking the outpost with mortars. Without your help, the outpost will not survive much longer, so act quickly to destroy the mortar teams.
#9074: 	#ame Outpost
#9075: 	#ame You've eliminated the mortar teams and saved the outpost from destruction. Now move to the outpost and wait for the reinforcements.
#9080: 	#ame Operation: Tin Can
#9081: 	#ame You've reached the bridge and now you are about to cross the river. Shrew two is covering you.
#9082: 	#ame Operation: Tin Can
#9083: 	#ame You have found the tanks, but they are not a threat. The tanks are old rusty french tanks and with closer inspection, these wrecks are decades old. Now help Shrew Three eliminate the remaining enemy forces.
#9100: 	#ame False Alarm
#9101: 	#ame You are near the expected location of Shrew Three. But they are not answering the radio. You must try and make contact with them.
#9102: 	#ame False Alarm
#9103: 	#ame You found Shrew Three and are waiting for the medevac.
#9104: 	#ame False Alarm
#9105: 	#ame You medevaced the wounded from Shrew Three. There are still men missing. You continue north to find them.
#9106: 	#ame False Alarm
#9107: 	#ame You've found the entrance to the tunnel system. You're going in alone.  You and your silenced pistol are going to find the missing Shrew Three member.
#9110: 	#ame Tunnel Rat
#9111: 	#ame You find yourself in the deeper part of the tunnels.
#9112: 	#ame Tunnel Rat
#9113: 	#ame You went southeast through the long tunnel and found a small room. You are investigating the tunnels and looking for the missing SF man.
#9114: 	#ame Tunnel Rat
#9115: 	#ame You went southeast through the long tunnel, finding several rooms. You have encountered Vietcong and several traps. You are still looking for the missing SF man, Marv.
#9116: 	#ame Arroyo
#9117: 	#ame You've explored a section of Vietcong tunnels and found an exit to the jungle. You are still looking for the missing SF trooper, Marv.
#9118: 	#ame The Underground city
#9119: 	#ame You are on the track of the missing SF man. You've just dived into another Vietcong tunnel section.
#9120: 	#ame The Underground city
#9121: 	#ame You are inside the occupied Vietcong tunnels, searching for the missing SF man. You have encountered and dealt with several VC.
#9122: 	#ame The Underground city
#9123: 	#ame You are inside occupied Vietcong tunnels, searching for the missing SF man. You are trying to be stealthy, to avoid detection.
#9124: 	#ame The Underground city
#9125: 	#ame You found a large communication room with radio receivers tuned to frequencies used by US pilots. Missing man still not found - you are looking for him.
#9126: 	#ame The Underground city
#9127: 	#ame You've found an improvised enemy hospital, which leads out to the dense jungle. There are several US units searching the area. You must continue searching for the missing man in the tunnels.
#9128: 	#ame The Underground city
#9129: 	#ame You hear the voice of the missing man in the distance. It sounds like the VC are torturing him. You've got to try and save him, before it is too late...
#9130: 	#ame Khe Bana river
#9131: 	#ame You have left the tunnels and found yourself on the bank of a murky river. You can see a village which appears to have a VC presence. 
#9132: 	#ame Khe Bana river
#9133: 	#ame A chopper extraction is not possible in this area, but there is an LLDB river patrol boat coming to evac you. You must proceed further upstream to meet the boat.
#9134: 	#ame Khe Bana river
#9135: 	#ame You are finally aboard the LLDB boat. They'll take you to safety.
#9136: 	#ame Air Recon
#9137: 	#ame You are flying over the ricefields.
#9138: 	#ame Air Recon
#9139: 	#ame There is a pilot from the crashed helicopter somewhere in the ricefields.  Captain Rosenfield wants you to find him and bring him back alive.
#9150: 	#ame Swamped
#9151: 	#ame You were inserted to the swamp during the night. You are walking to the target enemy village, designated point Baker. 
#9152: 	#ame Swamped
#9153: 	#ame You are on the way to the mission target in the swamp, but you have just spotted a hut.
#9154: 	#ame Swamped
#9155: 	#ame You are in the swamp, walking to the mission target. Now you have spotted a guarding post.
#9156: 	#ame Swamped
#9157: 	#ame You are approaching the mission target and are about to exit the swamp and continue on solid ground. There seems to be some enemy activity in front of you.
#9158: 	#ame Papa Oscar Whiskey
#9159: 	#ame You are close to the village now. You must avoid any noise and any unnecessary contact. The VC will kill the prisoner if they know about your presence. This cannot happen!
#9160: 	#ame Papa Oscar Whiskey
#9161: 	#ame You are at point Baker, proceeding as planned: Nhut and Crocker will stay on top of the hill, from there they will be able to cover the whole village with covering fire. Hornster and Defort will be positioned at the northern entrance of the village. Bronson will sneak inside the village and set explosives on one of the VC huts.  Meanwhile, Hawkins will locate the POW and move in as close as possible. When Bronson’s explosives draw the attention of the VC guards, that's the time to get the POW out. 
#9170: 	#ame Brush and Sweep
#9171: 	#ame You landed safely in the swamp. A snake one soldier will lead you to the blocking position.
#9172: 	#ame Brush and Sweep
#9173: 	#ame You manage to hold off the VC. Now the POETS will attempt to make the remaining enemy surrender. Hold your fire, priority is to take prisoners.
#9174: 	#ame Brush and Sweep
#9175: 	#ame Brush and Sweep through the swamp.
#9190: 	#ame Radio relay
#9191: 	#ame You are on board the helicopter heading to the hill Dong Tam Hanh, where the US radio relay is located. The group of VC is just about to attack. Use the heavy machinegun to eliminate as many enemy as possible.
#9192: 	#ame Radio relay
#9193: 	#ame You are on the Dong Tam Hanh hill defending the radio relay. The enemy seems eager to destroy it. Hold as long as you can.
#9210: 	#ame Crash in the jungle
#9211: 	#ame Your helicopter was hit and downed forcing a crash landing in an enemy controlled area. The radio is not working due to your location. You must advance towards the Po Tlong Karai to meet up with the other US forces in the area.
#9212: 	#ame Crash in the jungle
#9213: 	#ame Jungle seems quiet, but the presence of enemy forces seems more than likely!
#9214: 	#ame Crash in the jungle
#9215: 	#ame You were ambushed by a group of dug-in VC, who were promptly killed or retreated. Still no signal on the horn, continue towards the hill of Po Tlong Karai.
#9216: 	#ame Crash in the jungle
#9217: 	#ame The jungle around you is full of crawling enemy soldiers. You must break through and join the friendly units near the hill of Po Tlang Karai.
#9230: 	#ame Seizing the hill
#9231: 	#ame You are at the foot of hill 1625. Fist Beta should be near your location, commencing attack on the hill. They are not responding to the radio call so try to locate them. Other units are attacking from other side of hill.
#9232: 	#ame Seizing the hill
#9233: 	#ame You’ve found the wounded from Fist Beta. The enemy is firing heavily from the hills. You need to get to the hilltop and eliminate the enemy in the bunkers, using fire support if necessary.
#9234: 	#ame Seizing the hill
#9235: 	#ame You are just about to attack the fortified enemy machinegunner in his position. You are trying to get to the hilltop.
#9240: 	#ame Ruins of Po Tlong Karai
#9241: 	#ame You are now near the center of the enemy base. Proceed and get into position near the entrance.
#9242: 	#ame Ruins of Po Tlong Karai
#9243: 	#ame You must try and capture the enemy documents and maps before they have the chance to destroy or escape with them.
#9246: 	#ame Ruins of Po Tlong Karai
#9247: 	#ame You've managed to acquire a pack of maps and a document from the body of general Bong, but there are still enemies in the ruins.
#9260: 	#ame Cave in
#9261: 	#ame You are alone in the VC tunnel system with orders to locate the NVA escape route.
#9262: 	#ame Cave in
#9263: 	#ame You are stuck in the tunnels, it would take weeks to dig you out. Your only option is to find another way to the surface!
#9264: 	#ame Cave in
#9265: 	#ame The floor has collapsed beneath you. You are now deep within the tunnels and must find another way out.
#9270: 	#ame Evade & Escape
#9271: 	#ame It appears that the tunnels might lead somewhere. Try to find a route to the surface.
#9272: 	#ame Evade & Escape
#9273: 	#ame You are near the end of the tunnels, but it sounds like there are some VC around the tunnel exit. You are alone, and poorly armed, so try to avoid them.
#9274: 	#ame Evade & Escape
#9275: 	#ame You've escaped from the VC village, but are now lost in the dense jungle. Your map says that the ruins of Phan Ran should be nearby. This could be good place for a pickup.
#9276: 	#ame Evade & Escape
#9277: 	#ame You are waiting for extraction in the ruins of Phan Ran. The VC have caught up with you and are advancing on your position.
#9282: 	#ame Stream
#9283: 	#ame You’ve uncovered several booby traps and are expecting an enemy presence nearby.
#9284: 	#ame Stream
#9285: 	#ame You've made contact with enemy, probably the boobytraping squad. You must continue on your mission to the Bahnar village.
#9290: 	#ame Near Bahnar Village
#9291: 	#ame The stream was blocked, so you've entered the jungle to find another way to the Bahnar village.
#9292: 	#ame Near Bahnar Village
#9293: 	#ame You are on the way to the Bahnar village. You have found several boobytraps and it seems that enemy forces are in the vicinity. 
#9294: 	#ame Near Bahnar Village
#9295: 	#ame You've made contact with a large enemy group. It seems that they may have camped here.
#9300: 	#ame Bahnar village
#9301: 	#ame You are about half a klik from the target. We have found 3 montagnards KIA. 
#9302: 	#ame Bahnar village
#9303: 	#ame You have found the Bahnar village, it has been destroyed and all villagers killed. The VC responsible for this should be near, so try to locate and eliminate them.
#9304: 	#ame Bahnar village
#9305: 	#ame The enemy have attacked you with their mortars. Try to outflank and eliminate them.
#9310: 	#ame The Bridge
#9311: 	#ame Attack NVA convoy
#9312: 	#ame The Bridge
#9313: 	#ame You are near the bridge with orders to destroy it. Place four blocks of C4, one on each upright of the bridge and then bug the hell outta there!
#9350: 	#ame They're coming
#9351: 	#ame NVA forces have begun their attack on our base. You've got to hold them off, reinforcements should be already on the way.
#9352: 	#ame They're coming
#9353: 	#ame The enemy forces are trying to punch through the base defences. We must hold on!
#9354: 	#ame They're coming
#9355: 	#ame Enemy forces are continuing to attack despite heavy losses.
#9356: 	#ame Too many targets
#9357: 	#ame The enemy is attacking again!
#9358: 	#ame Too many targets
#9359: 	#ame The enemy have got the upper hand. Prepare to retreat into the inner perimeter.
#9560: 	#ame Too many targets
#9561: 	#ame You've had to retreat to the inner perimeter, but now you MUST hold. There is no place left to retreat.
#9562: 	#ame The last stand
#9563: 	#ame There is no way to win this fight. We must evacuate the base.
	
	
	
	
	
	
#6239  : 	#ame Admin password
#6240  : 	#ame Team kill kick off
#6241  : 	#ame Ban kicked player for
#6242  : 	#ame High ping kick off
#6243  : 	#ame Idle player
	
#6259  : 	#ame Set password for server Administrator only
#6260  : 	#ame Kick team killers off this server (no. of team kills)
#6261  : 	#ame Ban kicked team killers off this server (no. of hours)
#6262  : 	#ame Kick players off this server with a ping greater than : (ping)
#6263  : 	#ame Kick players who have not moved or responded (minutes)
	
	
#6400  : 	#ame Servers
